상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,합
16219813,스타벅스,양재강남빌딩R점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168065500,도곡1동,1168011800,도곡동,1.17E+18,1,대지,956,,서울특별시 강남구 도곡동 956,1.17E+11,서울특별시 강남구 남부순환로,2621,,1.17E+24,LG전자강남R&D센터,서울특별시 강남구 남부순환로 2621,135860,6267,,19,,127.036609,37.48524679,79
20675102,스타벅스,이마빌딩점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111061500,종로1.2.3.4가동,1111012400,수송동,1.11E+18,1,대지,146,1,서울특별시 종로구 수송동 146-1,1.11E+11,서울특별시 종로구 종로1길,42,,1.11E+24,이마빌딩,서울특별시 종로구 종로1길 42,110755,3152,,1,,126.9789664,37.57389426,30
16219933,스타벅스,마곡사이언스타워R점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500,마곡동,1.15E+18,1,대지,796,3,서울특별시 강서구 마곡동 796-3,1.15E+11,서울특별시 강서구 마곡동로,62,,1.15E+24,마곡사이언스타워,서울특별시 강서구 마곡동로 62,157805,7803,,7,,126.8338743,37.5605394,18
25798424,스타벅스소공로북창점,소공로북창점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114052000,소공동,1114011100,소공동,1.11E+18,1,대지,112,5,서울특별시 중구 소공동 112-5,1.11E+11,서울특별시 중구 세종대로18길,32,,1.11E+24,삼원빌딩,서울특별시 중구 세종대로18길 32,100070,4531,,1,,126.9789243,37.56371214,45
25885860,스타벅스,IFC몰점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156054000,여의동,1156011000,여의도동,1.16E+18,1,대지,23,,서울특별시 영등포구 여의도동 23,1.16E+11,서울특별시 영등포구 국제금융로,10,,1.16E+24,서울국제금융센터,서울특별시 영등포구 국제금융로 10,150945,7326,,1,,126.9248631,37.52517222,26
25467314,스타벅스,신사역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168052100,논현1동,1168010800,논현동,1.17E+18,1,대지,1,3,서울특별시 강남구 논현동 1-3,1.17E+11,서울특별시 강남구 도산대로,108,,1.17E+24,,서울특별시 강남구 도산대로 108,135010,6038,,1,,127.0206347,37.5161838,79
25730277,스타벅스고대프라자점,고대프라자점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129060000,안암동,1129012500,안암동5가,1.13E+18,1,대지,1,2,서울특별시 성북구 안암동5가 1-2,1.13E+11,서울특별시 성북구 인촌로,105,,1.13E+24,,서울특별시 성북구 인촌로 105,136701,2842,,1,,127.0309577,37.58648758,15
25850418,스타벅스황학캐슬점,황학캐슬점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114067000,황학동,1114016500,황학동,1.11E+18,1,대지,2545,,서울특별시 중구 황학동 2545,1.11E+11,서울특별시 중구 청계천로,400,,1.11E+24,롯데캐슬베네치아,서울특별시 중구 청계천로 400,100899,4572,,1,,127.0214482,37.57080306,45
23097527,스타벅스,순천향입구점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11170,용산구,1117068500,한남동,1117013100,한남동,1.12E+18,1,대지,657,104,서울특별시 용산구 한남동 657-104,1.12E+11,서울특별시 용산구 대사관로,67,,1.12E+24,국민은행,서울특별시 용산구 대사관로 67,140887,4401,,2,,127.0056326,37.53341267,21
19969315,스타벅스서울대입구역점,서울대입구역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162059500,청룡동,1162010100,봉천동,1.16E+18,1,대지,869,1,서울특별시 관악구 봉천동 869-1,1.16E+11,서울특별시 관악구 남부순환로,1812,,1.16E+24,윤건빌딩,서울특별시 관악구 남부순환로 1812,151050,8787,,1,,126.9513192,37.48110554,11
20391638,스타벅스,강남구청역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168053100,논현2동,1168010800,논현동,1.17E+18,1,대지,241,7,서울특별시 강남구 논현동 241-7,1.17E+11,서울특별시 강남구 선릉로,669,,1.17E+24,상경빌딩,서울특별시 강남구 선릉로 669,135010,6099,,1,,127.0412398,37.51660516,79
23369079,스타벅스,등촌점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200,등촌동,1.15E+18,1,대지,668,9,서울특별시 강서구 등촌동 668-9,1.15E+11,서울특별시 강서구 공항대로,329,,1.15E+24,청호프라자,서울특별시 강서구 공항대로 329,157030,7591,,1,,126.8443343,37.5582365,18
12088372,스타벅스신세계본점,신세계본점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114054000,회현동,1114012400,충무로1가,1.11E+18,1,대지,54,,서울특별시 중구 충무로1가 54,1.11E+11,서울특별시 중구 퇴계로,77,,1.11E+24,신세계백화점,서울특별시 중구 퇴계로 77,100011,4530,,2,,126.9807585,37.56034908,45
19999786,스타벅스신림점,신림점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11620,관악구,1162069500,신림동,1162010200,신림동,1.16E+18,1,대지,1432,71,서울특별시 관악구 신림동 1432-71,1.16E+11,서울특별시 관악구 신림로,355,1,1.16E+24,,서울특별시 관악구 신림로 355-1,151892,8760,,1,,126.9291549,37.48608776,11
23321462,스타벅스,역삼초교사거리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1.17E+18,1,대지,830,69,서울특별시 강남구 역삼동 830-69,1.17E+11,서울특별시 강남구 역삼로,123,,1.17E+24,인정빌딩,서울특별시 강남구 역삼로 123,135080,6243,,1,,127.0330005,37.49412876,79
19983721,스타벅스,문화일보점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114052000,소공동,1114017000,충정로1가,1.11E+18,1,대지,68,,서울특별시 중구 충정로1가 68,1.11E+11,서울특별시 중구 새문안로,22,,1.11E+24,문화일보사건물,서울특별시 중구 새문안로 22,100723,4516,,2,,126.9686221,37.56711862,45
12111408,스타벅스,화곡DT점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300,화곡동,1.15E+18,1,대지,772,67,서울특별시 강서구 화곡동 772-67,1.15E+11,서울특별시 강서구 등촌로,57,,1.15E+24,스타벅스화곡점,서울특별시 강서구 등촌로 57,157896,7741,,,,126.8631698,37.53500146,18
12111546,스타벅스,마포염리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144061000,염리동,1144010900,염리동,1.14E+18,1,대지,168,9,서울특별시 마포구 염리동 168-9,1.14E+11,서울특별시 마포구 독막로,311,,1.14E+24,재화스퀘어,서울특별시 마포구 독막로 311,121749,4156,,,,126.9474628,37.54399137,29
23003316,스타벅스,상일동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11740,강동구,1174051500,강일동,1174010300,상일동,1.17E+18,1,대지,373,1,서울특별시 강동구 상일동 373-1,1.17E+11,서울특별시 강동구 상일로10길,36,,1.17E+24,세종텔레콤,서울특별시 강동구 상일로10길 36,134838,5288,,1,,127.174087,37.55071373,13
20386874,스타벅스여의도점,여의도점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156054000,여의동,1156011000,여의도동,1.16E+18,1,대지,23,9,서울특별시 영등포구 여의도동 23-9,1.16E+11,서울특별시 영등포구 국제금융로2길,28,,1.16E+24,KB금융타워,서울특별시 영등포구 국제금융로2길 28,150710,7325,,1,,126.924483,37.52406949,26
20006883,스타벅스강남삼성타운점,강남삼성타운점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165052000,서초2동,1165010800,서초동,1.17E+18,1,대지,1327,5,서울특별시 서초구 서초동 1327-5,1.17E+11,서울특별시 서초구 서초대로78길,24,,1.17E+24,스타벅스,서울특별시 서초구 서초대로78길 24,137070,6621,,1,,127.027735,37.49553624,42
20025735,스타벅스,구역삼세무서점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1.17E+18,1,대지,747,21,서울특별시 강남구 역삼동 747-21,1.17E+11,서울특별시 강남구 논현로,401,,1.17E+24,청송빌딩,서울특별시 강남구 논현로 401,135080,6247,,,,127.0388807,37.49591579,79
20672066,스타벅스광화문점,광화문점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111053000,사직동,1111011900,세종로,1.11E+18,1,대지,185,2,서울특별시 종로구 세종로 185-2,1.11E+11,서울특별시 종로구 세종대로,167,,1.11E+24,현대빌딩,서울특별시 종로구 세종대로 167,110822,3183,,1,,126.9762855,37.57125803,30
20250808,스타벅스,안암역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129060000,안암동,1129012500,안암동5가,1.13E+18,1,대지,92,,서울특별시 성북구 안암동5가 92,1.13E+11,서울특별시 성북구 인촌로,102,2,1.13E+24,,서울특별시 성북구 인촌로 102-2,136075,2856,,1,,127.0307477,37.5860984,15
12108712,스타벅스,남영동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11170,용산구,1117053000,남영동,1117010400,갈월동,1.12E+18,1,대지,90,8,서울특별시 용산구 갈월동 90-8,1.12E+11,서울특별시 용산구 한강대로,275,,1.12E+24,,서울특별시 용산구 한강대로 275,140807,4321,,,,126.9722381,37.54285805,21
25585003,스타벅스,도산가로수길점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168052100,논현1동,1168010800,논현동,1.17E+18,1,대지,5,1,서울특별시 강남구 논현동 5-1,1.17E+11,서울특별시 강남구 도산대로,134,,1.17E+24,,서울특별시 강남구 도산대로 134,135010,6039,,2,,127.0233685,37.51734176,79
20598319,스타벅스,마로니에공원점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111064000,이화동,1111016800,동숭동,1.11E+18,1,대지,1,115,서울특별시 종로구 동숭동 1-115,1.11E+11,서울특별시 종로구 대학로,116,,1.11E+24,샘터사옥,서울특별시 종로구 대학로 116,110809,3086,,1,,127.002321,37.58152755,30
19972853,스타벅스,동빙고점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11170,용산구,1117069000,서빙고동,1117013200,동빙고동,1.12E+18,1,대지,10,8,서울특별시 용산구 동빙고동 10-8,1.12E+11,서울특별시 용산구 장문로,12,,1.12E+24,남도빌딩,서울특별시 용산구 장문로 12,140809,4393,,1,1,126.9917868,37.52897024,21
20379604,스타벅스숭실대점,숭실대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159053000,상도1동,1159010200,상도동,1.16E+18,1,대지,501,9,서울특별시 동작구 상도동 501-9,1.16E+11,서울특별시 동작구 사당로,4,,1.16E+24,,서울특별시 동작구 사당로 4,156030,7027,,1,,126.9548399,37.49540038,11
20478915,스타벅스,문래동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156060500,문래동,1156012100,문래동3가,1.16E+18,1,대지,77,1,서울특별시 영등포구 문래동3가 77-1,1.16E+11,서울특별시 영등포구 선유로,64,,1.16E+24,,서울특별시 영등포구 선유로 64,150836,7295,,1,,126.8896814,37.5196567,26
20254764,스타벅스구산역점,구산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11380,은평구,1138057000,대조동,1138010600,대조동,1.14E+18,1,대지,224,15,서울특별시 은평구 대조동 224-15,1.14E+11,서울특별시 은평구 연서로,146,,1.14E+24,수메디컬빌딩,서울특별시 은평구 연서로 146,122845,3394,,1,,126.9176933,37.61181349,9
20017739,스타벅스,신세계도곡점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168065600,도곡2동,1168011800,도곡동,1.17E+18,1,대지,467,17,서울특별시 강남구 도곡동 467-17,1.17E+11,서울특별시 강남구 언주로30길,57,,1.17E+24,타워팰리스,서울특별시 강남구 언주로30길 57,135270,6293,F,1,,127.0541634,37.48929922,79
19963699,스타벅스신촌점,신촌점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11410,서대문구,1141058500,신촌동,1141011600,창천동,1.14E+18,1,대지,18,55,서울특별시 서대문구 창천동 18-55,1.14E+11,서울특별시 서대문구 연세로,10,1,1.14E+24,즐거운빌딩,서울특별시 서대문구 연세로 10-1,120833,3779,,1,,126.937101,37.55647708,20
19989827,스타벅스,신세계아이엔씨점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11530,구로구,1153054000,구로3동,1153010200,구로동,1.15E+18,1,대지,197,12,서울특별시 구로구 구로동 197-12,1.15E+11,서울특별시 구로구 디지털로31길,61,,1.15E+24,신세계아이앤씨디지털센터,서울특별시 구로구 디지털로31길 61,152050,8375,,1,,126.8915267,37.48590289,9
23473401,스타벅스,구의디티점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11215,광진구,1121586000,구의2동,1121510300,구의동,1.12E+18,1,대지,67,7,서울특별시 광진구 구의동 67-7,1.12E+11,서울특별시 광진구 광나루로,519,,1.12E+24,,서울특별시 광진구 광나루로 519,143200,4976,,2,1,127.0871794,37.54529828,17
12228306,스타벅스,동대입구역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114058000,장충동,1114014300,장충동1가,1.11E+18,1,대지,62,35,서울특별시 중구 장충동1가 62-35,1.11E+11,서울특별시 중구 장충단로,166,,1.11E+24,종이나라빌딩,서울특별시 중구 장충단로 166,100391,4606,,1,,127.0061331,37.55963733,45
20025300,스타벅스역삼역점,역삼역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1.17E+18,1,대지,646,15,서울특별시 강남구 역삼동 646-15,1.17E+11,서울특별시 강남구 테헤란로,145,,1.17E+24,우신빌딩,서울특별시 강남구 테헤란로 145,135080,6132,,1,,127.0351776,37.50070625,79
23316524,스타벅스,강남GT타워점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165053100,서초4동,1165010800,서초동,1.17E+18,1,대지,1317,23,서울특별시 서초구 서초동 1317-23,1.17E+11,서울특별시 서초구 서초대로,411,,1.17E+24,GTTOWER,서울특별시 서초구 서초대로 411,137070,6615,,1,,127.0259036,37.49809817,42
23425176,스타벅스삼청동점,삼청동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111054000,삼청동,1111014000,삼청동,1.11E+18,1,대지,112,,서울특별시 종로구 삼청동 112,1.11E+11,서울특별시 종로구 삼청로,111,1,1.11E+24,,서울특별시 종로구 삼청로 111-1,110230,3049,,1,,126.9817648,37.58537065,30
